;Method;Time_Window;Driver;Impostors;Method_Parameters;PORC_FAR;Min_Time_Detection(s);Average_Time_Detection(s);Max_Time_Detection(s);Standard_deviation(s);%_FRR;Min_Time_Detection(s);Average_Time_Detection(s);Max_Time_Detection(s);Standard_deviation(s);Number_clusters
0;EE;30;F;['A', 'B', 'C', 'D', 'E', 'G', 'H', 'I', 'J'];{'contamination: 0'};95.7;30;287.7631579;5481;640.0309474;0.32;52;300.5;554;155.5295103;10
0;EE;30;F;['A', 'B', 'C', 'D', 'E', 'G', 'H', 'I', 'J'];{'contamination: 0'};70.71;30;66.0471638;1953;137.0302284;11.98;30;37.33913043;84;9.007407875;30
0;EE;3;G;['A', 'B', 'C', 'D', 'E', 'F', 'H', 'I', 'J'];{'contamination: 0'};99.74;3;700.1370968;4424;1000.65491;0.13;149;500.3333333;1106;526.7602238;1
0;EE;3;G;['A', 'B', 'C', 'D', 'E', 'F', 'H', 'I', 'J'];{'contamination: 0'};86.74;3;61.42146803;2639;182.5536017;0.07;223;750;1277;745.2905474;3
0;EE;3;G;['A', 'B', 'C', 'D', 'E', 'F', 'H', 'I', 'J'];{'contamination: 0'};93.35;3;84.67755102;2814;288.1701952;0.13;223;500.3333333;884;343.0893955;5
0;EE;3;G;['A', 'B', 'C', 'D', 'E', 'F', 'H', 'I', 'J'];{'contamination: 0'};90.79;3;75.65140187;2945;259.5078723;0.27;145;300.6;501;164.8553912;10
0;EE;3;G;['A', 'B', 'C', 'D', 'E', 'F', 'H', 'I', 'J'];{'contamination: 0'};81;3;29.07239122;2687;89.55087903;0.94;6;100.8666667;203;61.7296718;30
0;EE;5;G;['A', 'B', 'C', 'D', 'E', 'F', 'H', 'I', 'J'];{'contamination: 0'};99.41;5;699.2096774;4559;1025.261222;0.2;187;377;523;162.055546;1
0;EE;5;G;['A', 'B', 'C', 'D', 'E', 'F', 'H', 'I', 'J'];{'contamination: 0'};99.46;5;667.5;6596;1110.68793;0.2;88;377;778;299.035115;3
0;EE;5;G;['A', 'B', 'C', 'D', 'E', 'F', 'H', 'I', 'J'];{'contamination: 0'};96.26;5;186.6586433;5199;569.5067864;0.13;88;501.6666667;942;427.6240561;5
0;EE;5;G;['A', 'B', 'C', 'D', 'E', 'F', 'H', 'I', 'J'];{'contamination: 0'};89.39;5;93.20253165;3209;351.0032237;0.27;88;302.2;778;272.0371298;10
0;EE;5;G;['A', 'B', 'C', 'D', 'E', 'F', 'H', 'I', 'J'];{'contamination: 0'};84.85;5;70.22682268;1825;184.1649497;0.8;5;118.0769231;508;138.1505589;30
0;EE;10;G;['A', 'B', 'C', 'D', 'E', 'F', 'H', 'I', 'J'];{'contamination: 0'};99.89;11;4330.2;25339;6953.970434;0.27;14;306.4;777;307.2056315;1
0;EE;10;G;['A', 'B', 'C', 'D', 'E', 'F', 'H', 'I', 'J'];{'contamination: 0'};93.72;10;422.6938776;7518;1070.970831;0.27;54;306.4;777;293.6584751;3
0;EE;10;G;['A', 'B', 'C', 'D', 'E', 'F', 'H', 'I', 'J'];{'contamination: 0'};95.75;10;263.9046154;5315;708.7501955;0.2;76;381;777;298.2962733;5
0;EE;10;G;['A', 'B', 'C', 'D', 'E', 'F', 'H', 'I', 'J'];{'contamination: 0'};90.92;10;160.2673077;2543;460.5911043;0.54;22;173.7777778;450;156.6698581;10
0;EE;10;G;['A', 'B', 'C', 'D', 'E', 'F', 'H', 'I', 'J'];{'contamination: 0'};84.71;10;62.69230769;2515;193.7134542;1.95;12;57.73333333;263;58.90081279;30
0;EE;30;G;['A', 'B', 'C', 'D', 'E', 'F', 'H', 'I', 'J'];{'contamination: 0'};99.87;31;8589.9;48564;15117.81081;0.2;145;397;999;403.4881246;1
0;EE;30;G;['A', 'B', 'C', 'D', 'E', 'F', 'H', 'I', 'J'];{'contamination: 0'};87.35;30;488.3680982;4226;794.7551603;0.2;56;397;872;381.1194039;3
0;EE;30;G;['A', 'B', 'C', 'D', 'E', 'F', 'H', 'I', 'J'];{'contamination: 0'};92.26;30;447.4232804;5170;902.2106365;0.61;53;175.6;363;85.80883145;5
